tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,-0.015,1.0
2,0.1,0.0,-0.004,1.0
3,0.15,0.0,-0.0,1.0
4,0.2,1.0,-0.007,0.0
5,0.25,1.0,0.004,0.0
6,0.3,1.0,0.011,0.0
7,0.35,1.0,0.02,0.0
8,0.4,1.0,0.018,0.0
9,0.45,1.0,0.018,0.0
10,0.5,1.0,0.021,0.0
11,0.55,1.0,0.011,0.0
12,0.6,1.0,0.019,0.0
13,0.65,1.0,0.011,0.0
14,0.7,1.0,0.011,0.0
15,0.75,1.0,0.01,0.0
16,0.8,1.0,0.01,0.0
17,0.85,1.0,0.01,0.0
18,0.9,1.0,0.001,0.0
19,0.95,1.0,0.007,0.0
20,1.0,1.0,0.005,0.0
21,1.05,1.0,0.009,0.0
22,1.1,1.0,0.013,0.0
23,1.15,1.0,0.009,0.0
24,1.2,1.0,0.012,0.0
25,1.25,1.0,0.008,0.0
26,1.3,1.0,0.007,0.0
27,1.35,1.0,0.015,0.0
28,1.4,1.0,0.005,0.0
29,1.45,1.0,0.012,0.0
30,1.5,1.0,0.007,0.0
31,1.55,1.0,0.003,0.0
32,1.6,1.0,0.002,0.0
33,1.65,1.0,-0.004,0.0
34,1.7,0.6392,-0.019,0.0
35,1.75,0.332,-0.01,0.0
36,1.8,1.0,0.003,0.0
37,1.85,0.3795,-0.001,0.0
38,1.9,0.7564,-0.001,0.0
39,1.95,0.7064,-0.004,0.0
40,2.0,0.6564,-0.004,0.0
41,2.05,0.6064,-0.009,0.0
42,2.1,0.5564,-0.004,0.0
43,2.15,0.5064,-0.008,0.0
44,2.2,0.4564,-0.005,0.0
45,2.25,0.0,-0.008,1.0
46,2.3,0.0,-0.006,1.0
47,2.35,0.3064,-0.003,0.0
48,2.4,0.2564,-0.001,0.0
49,2.45,0.2064,-0.008,0.0
50,2.5,0.1564,-0.001,0.0
51,2.55,0.1064,-0.002,0.0
52,2.6,0.0588,0.003,0.0
